Longitude,Latitude,Hour,Date
-85.181186,35.016968,7,4/27/2020
-85.206483,35.006562,7,4/27/2020
-85.288803,34.989408,8,4/27/2020
-85.288852,34.98932,8,4/27/2020
-85.24849,35.15896,8,4/27/2020
-85.248478,35.158156,9,4/27/2020
-85.161279,35.06065,9,4/27/2020
-85.163041,35.23234,9,4/27/2020
-85.163041,35.23234,9,4/27/2020
-85.163041,35.23234,9,4/27/2020
-85.16399,35.23278,9,4/27/2020
-85.040915,35.077351,9,4/27/2020
-85.036823,35.078193,9,4/27/2020
-85.261208,35.186833,10,4/27/2020
-85.239499,35.019644,10,4/27/2020
-85.26488,35.081088,10,4/27/2020
-85.26408,35.08137,10,4/27/2020
-85.315991,35.033108,12,4/27/2020
-85.193677,35.14674,12,4/27/2020
-85.193677,35.14674,12,4/27/2020
-85.193677,35.14674,12,4/27/2020
-85.243918,35.045845,12,4/27/2020
-85.243167,35.137205,13,4/27/2020
-85.330663,35.088552,14,4/27/2020
-85.238835,35.135449,14,4/27/2020
-85.284418,35.074959,14,4/27/2020
-85.284418,35.074959,15,4/27/2020
-85.284418,35.074959,15,4/27/2020
-85.293067,35.065695,15,4/27/2020
-85.293226,35.017208,15,4/27/2020
-85.207747,35.010063,15,4/27/2020
-85.220637,35.042146,15,4/27/2020
-85.133392,35.312327,16,4/27/2020
-85.248106,35.139429,16,4/27/2020
-85.248737,35.139208,16,4/27/2020
-85.248737,35.139208,16,4/27/2020
-85.248737,35.139208,16,4/27/2020
-85.163223,35.035572,17,4/27/2020
-85.03281,35.07726,18,4/27/2020
-85.055999,35.086877,18,4/27/2020
-85.05854,35.082749,18,4/27/2020
-85.05854,35.082749,18,4/27/2020
-85.05854,35.082749,18,4/27/2020
-85.055889,35.086987,18,4/27/2020
-85.166979,35.338375,19,4/27/2020
-85.177583,35.345242,19,4/27/2020
-85.115794,35.173151,23,4/27/2020
-85.296213,35.040951,23,4/27/2020
-85.296213,35.040951,23,4/27/2020
-85.296213,35.040951,23,4/27/2020
-85.022098,35.226547,4,4/28/2020
-85.023322,35.22739,4,4/28/2020
-85.125346,35.126028,7,4/28/2020
-85.140492,35.032913,7,4/28/2020
-85.175665,35.264695,9,4/28/2020
-85.215116,35.00528,10,4/28/2020
-85.207202,35.006443,10,4/28/2020
-85.174856,35.049622,12,4/28/2020
-85.210866,35.001294,12,4/28/2020
-85.252279,34.991444,12,4/28/2020
-85.225798,35.048023,12,4/28/2020
-85.298375,34.988733,12,4/28/2020
-85.298375,34.988733,12,4/28/2020
-85.298375,34.988733,12,4/28/2020
-85.157634,35.025142,13,4/28/2020
-85.158046,35.025337,13,4/28/2020
-85.157634,35.025142,13,4/28/2020
-85.093844,35.168991,13,4/28/2020
-85.114442,35.047961,13,4/28/2020
-85.302327,35.053846,13,4/28/2020
-85.226145,35.016818,14,4/28/2020
-85.226145,35.016818,14,4/28/2020
-85.226145,35.016818,14,4/28/2020
-85.028695,35.082488,14,4/28/2020
-85.22623,35.016665,14,4/28/2020
-85.22623,35.016665,14,4/28/2020
-85.22623,35.016665,14,4/28/2020
-85.294597,35.015491,14,4/28/2020
-85.011795,35.088004,14,4/28/2020
-85.109857,35.073077,14,4/28/2020
-85.311247,35.044799,15,4/28/2020
-85.30299,35.03392,15,4/28/2020
-85.306163,35.054422,15,4/28/2020
-85.258026,35.057734,15,4/28/2020
-85.260341,35.141869,16,4/28/2020
-85.221331,35.091783,16,4/28/2020
-85.22393,35.09357,16,4/28/2020
-85.221331,35.091783,16,4/28/2020
-85.137719,35.052457,16,4/28/2020
-85.137719,35.052457,16,4/28/2020
-85.137719,35.052457,16,4/28/2020
-85.070057,35.087633,16,4/28/2020
-85.20888,35.084509,16,4/28/2020
-85.05854,35.082749,17,4/28/2020
-85.338114,35.007166,17,4/28/2020
-85.338088,35.008294,17,4/28/2020
-85.076517,35.046918,20,4/28/2020
-85.326617,34.98899,21,4/28/2020
-85.326696,34.98876,22,4/28/2020
-85.261352,35.051214,23,4/28/2020
-85.255333,35.026188,23,4/28/2020
-85.223803,35.016789,0,4/29/2020
-85.181768,35.017338,1,4/29/2020
-85.181768,35.017338,1,4/29/2020
-85.181768,35.017338,1,4/29/2020
-85.029932,35.203019,4,4/29/2020
-85.25651,35.051718,8,4/29/2020
-85.234715,35.00757,8,4/29/2020
-85.237709,35.008661,8,4/29/2020
-85.23269,35.00695,8,4/29/2020
-85.232379,35.005307,8,4/29/2020
-85.310584,35.049648,8,4/29/2020
-85.234715,35.00757,8,4/29/2020
