BLM,ELM,Sp. Case,Co. Seq.,ID_NUMBER,Sub Route,Ad_Sys,Gov_Cont,Func_Class,Inc Area Nbr,Urb Area Nbr,Sp Systems,State Aid Code
1.27,2.03,0,1,3303614001,0,18,4,17,52,52,,
0,0.54,0,1,3303615001,0,18,4,17,52,52,,
0.54,0.86,0,1,3303615001,0,18,4,17,52,52,,
0,0.003,0,1,3303617001,0,18,4,17,52,52,,
0.003,0.185,0,1,3303617001,0,18,4,17,172,52,,
0.185,0.237,0,1,3303617001,0,18,4,17,52,52,,
0.237,0.47,0,1,3303617001,0,18,4,17,172,52,,
0.47,0.79,0,1,3303617001,0,18,4,17,172,52,,
0.79,0.927,0,1,3303617001,0,18,4,17,172,52,,
0.927,1,0,1,3303617001,0,18,4,17,172,52,,
1,1.18,0,1,3303617001,0,18,4,17,172,52,,
1.18,1.88,0,1,3303617001,0,18,4,17,172,52,,
1.88,2.096,0,1,3303617001,0,18,4,17,172,52,,
2.096,2.5,0,1,3303617001,0,18,4,17,172,52,,
2.5,2.76,0,1,3303617001,0,18,4,17,172,52,,
0,0.27,0,1,3303618001,0,18,4,17,172,52,,
0,0.28,0,1,3303619001,0,18,4,16,52,52,,
0.28,0.43,0,1,3303619001,0,26,4,16,52,52,,
0.43,0.93,0,1,3303619001,0,26,4,17,52,52,,
0.93,1.101,0,1,3303619001,0,18,4,17,52,52,,
1.101,1.15,0,1,3303619001,0,18,4,17,52,52,,
1.15,1.35,0,1,3303619001,0,18,4,17,52,52,,
0,0.76,0,1,3303620001,0,26,4,17,52,52,,
0,0.046,0,1,3303621001,0,18,4,17,241,52,,
0.046,0.94,0,1,3303621001,0,18,4,17,52,52,,
0.94,1.93,0,1,3303621001,0,26,4,17,52,52,,
1.93,2.33,0,1,3303621001,0,26,4,17,52,52,,
2.33,4.12,0,1,3303621001,0,18,4,18,52,52,,
0,0.4,0,1,3303622001,0,18,4,16,52,52,,
0.4,0.51,0,1,3303622001,0,18,4,16,52,52,,
0.51,1.49,0,1,3303622001,0,18,4,16,52,52,,
1.49,1.8,0,1,3303622001,0,18,4,18,52,52,,
1.8,2.44,0,1,3303622001,0,18,4,18,52,52,,
2.44,2.726,0,1,3303622001,0,18,4,18,52,52,,
2.726,2.95,0,1,3303622001,0,18,4,18,52,52,,
0,2.74,0,1,3303623001,0,18,4,18,52,52,,
0,0.57,0,1,3303624001,0,18,4,17,52,52,,
0,0.218,0,1,3303625001,0,18,4,17,172,52,,
0.218,0.73,0,1,3303625001,0,18,2,17,,52,,
0,1.109,0,1,3303630001,0,18,4,17,272,52,22,33013
1.109,4.86,0,1,3303630001,0,11,2,8,,,22,33013
0,0.65,0,1,3303631001,0,18,4,16,272,52,22,33007
0,0.01,0,1,3303632001,0,18,2,16,,52,,
0.01,1.811,0,1,3303632001,0,18,4,16,272,52,,
1.811,2.594,0,1,3303632001,0,18,4,17,272,52,,
2.594,2.86,0,1,3303632001,0,18,4,17,272,52,,
0,2.31,0,1,3303633001,0,18,4,16,272,52,,
0,1.631,0,1,3303634001,0,18,4,16,272,52,,
0,1.816,0,1,3304019001,0,18,4,17,241,52,,
1.816,1.93,0,1,3304019001,0,18,4,17,241,52,,
0,0.38,0,1,3304020001,0,18,4,17,241,52,,
0.38,1.43,0,1,3304020001,0,18,4,17,241,52,,
1.43,1.48,0,1,3304020001,0,18,4,17,241,52,,
1.48,1.56,0,1,3304020001,0,18,4,17,241,52,,
0,0.14,0,1,3304021001,0,18,4,17,241,52,,
0.14,1.341,0,1,3304021001,0,18,4,17,241,52,,
1.341,1.35,0,1,3304021001,0,18,4,17,52,52,,
1.35,2.1,0,1,3304021001,0,18,4,18,52,52,,
2.1,2.48,0,1,3304021001,0,18,4,18,52,52,,
0,1.017,0,1,3304022001,0,18,4,16,89,52,,
1.017,1.04,0,1,3304022001,0,18,4,16,89,52,,
0,0.785,0,1,3304029001,0,18,4,17,266,52,,
0.785,1.619,0,1,3304029001,0,18,4,17,266,52,,
1.619,2.49,0,1,3304029001,0,18,4,17,266,52,,
2.49,2.5,0,1,3304029001,0,18,4,17,327,52,,
2.5,3.51,0,1,3304029001,0,18,4,17,327,52,,
0,0.76,0,1,3304033001,0,18,4,17,241,52,,
0,0.262,0,1,3304034001,0,18,4,18,52,52,,
0.262,1.71,0,1,3304034001,0,18,4,18,52,52,,
